"OlympiadType","Status","TeamSize","Subject","Year_end","Class","ShortName","Year_begin"
"Всероссийская олимпиада","призёр",3,"Математика",2015,9,"ГБОУ СОШ № 218",2014
"Московская олимпиада","призёр",3,"филология",2018,5,"ФГКОУ «МКК ПВ МО РФ»",2017
"Московская олимпиада","победитель",5,"Робототехника",2017,7,"ГАОУ ВПО МИОО. СОШ № 179",2016
"Всероссийская олимпиада","призёр",5,"Математика",2020,11,"ГБОУ школа № 1543",2019
"Московская олимпиада","призёр",3,"Экономика",2019,10,"ГБОУ школа № 1582",2018
"Всероссийская олимпиада","призёр",4,"Обществознание",2020,11,"лицей НИУ ВШЭ",2019
"Московская олимпиада","призёр",3,"Математика",2016,6,"ГБОУ лицей № 1568",2015
"Всероссийская олимпиада","призёр",3,"Математика",2013,10,"ГБОУ ЦО № 218",2012
"Московская олимпиада","призёр",3,"Математика",2015,10,"ГБОУ школа № 1329",2014
"Всероссийская олимпиада","призёр",3,"Иностранный язык (английский язык)",2019,11,"ГБОУ школа № 1288",2018
"Московская олимпиада","призёр",4,"Математика",2019,9,"ГБОУ «Лицей «Вторая школа»",2018
"Московская олимпиада","победитель",3,"Физика",2013,11,"ГБОУ гимназия № 1514",2012
"Московская олимпиада","призёр",3,"филология",2016,5,"ГБОУ школа № 1987",2015
"Всероссийская олимпиада","победитель",4,"Основы безопасности жизнедеятельности",2016,9,"ГБОУ гимназия № 1540",2015
"Районная олимпиада","призёр",3,"Русский язык",2020,9,"ГБОУ школа № 1249",2019
"Всероссийская олимпиада","призёр",3,"Обществознание",2016,9,"ЧУ СОШ Первая школа",2015
"Московская олимпиада","призёр",3,"Математика",2019,11,"ГБОУ школа № 179",2018
"Районная олимпиада","призёр",4,"Математика",2020,11,"ГБОУ школа № 1547",2019
"Всероссийская олимпиада","призёр",4,"Русский язык",2020,10,"ГБОУ школа № 1553 имени В.И. Вернадского",2019
"Всероссийская олимпиада","призёр",3,"Биология",2016,9,"ГБОУ школа № 1194",2015
"Районная олимпиада","призёр",4,"Право",2020,9,"ГБОУ школа № 1501",2019
"Районная олимпиада","призёр",4,"Физика",2017,10,"Предуниверситарий НИЯУ МИФИ",2016
"Московская олимпиада","победитель",5,"География",2014,6,"ГБОУ СОШ № 440",2013
"Всероссийская олимпиада","победитель",3,"Биология",2018,11,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",2017
"Всероссийская олимпиада","призёр",3,"Химия",2018,10,"ГБОУ школа № 1253",2017
"Всероссийская олимпиада","призёр",3,"Математика",2016,11,"ГБОУ школа № 315",2015
"Районная олимпиада","призёр",5,"Физическая культура",2016,9,"ГБОУ «Школа № 514»",2015
"Всероссийская олимпиада","победитель",4,"Физическая культура",2015,10,"ГБОУ школа № 1285",2014
"Всероссийская олимпиада","призёр",4,"Биология",2013,10,"ГБОУ Московская гимназия на Юго-Западе № 1543",2012
"Всероссийская олимпиада","призёр",5,"Биология",2014,10,"ГБОУ лицей № 1303",2013
"Районная олимпиада","призёр",4,"История",2016,9,"ГБОУ школа № 2126 «Перово»",2015
"Всероссийская олимпиада","призёр",3,"Обществознание",2014,9,"ГБОУ гимназия № 1290",2013
"Всероссийская олимпиада","призёр",5,"Основы безопасности жизнедеятельности",2019,9,"ГБОУ школа № 1474",2018
"Всероссийская олимпиада","призёр",5,"Технология",2018,11,"ГБОУ школа № 1947",2017
"Московская олимпиада","призёр",5,"Физика",2017,10,"ГБОУ лицей № 1557",2016
"Всероссийская олимпиада","победитель",5,"Физика",2019,9,"ОАНО «Школа «ЛЕТОВО»",2018
"Всероссийская олимпиада","призёр",5,"История",2017,9,"ГБОУ «Гимназия № 1636 «НИКА»",2016
"Московская олимпиада","призёр",4,"Информатика и Информационно-коммуникационные технологии (ИКТ)",2018,9,"ГБОУ школа № 179",2017
"Районная олимпиада","призёр",5,"Иностранный язык (французский язык)",2017,10,"ГБОУ школа № 1265",2016
"Районная олимпиада","призёр",4,"Литература",2015,11,"ГБОУ Пушкинский лицей № 1500",2014
