"ShortName","Year_end","TeamSize","Year_begin","Subject","Status","Class","OlympiadType"
"ГБОУ школа № 1557",2020,5,2019,"Обществознание","призёр",10,"Всероссийская олимпиада"
"ГБОУ гимназия № 1576",2016,3,2015,"Литература","призёр",10,"Всероссийская олимпиада"
"ГБПОУ МГОК",2020,5,2019,"Физическая культура","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 2009",2020,5,2019,"Иностранный язык (французский язык)","призёр",11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1520 им. Капцовых",2014,3,2013,"Право","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1252 имени Сервантеса",2015,3,2014,"Физическая культура","победитель",9,"Всероссийская олимпиада"
"ГБОУ школа № 1236",2020,5,2019,"Иностранный язык (китайский язык)","призёр",10,"Всероссийская олимпиада"
"ГБОУ лицей «Вторая школа»",2018,5,2017,"Математика","призёр",9,"Московская олимпиада"
"ГБОУ лицей № 1575",2017,3,2016,"Русский язык","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1535",2019,5,2018,"Литература","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 57",2018,5,2017,"Биология","победитель",10,"Всероссийская олимпиада"
"ГБОУ школа № 1358",2018,4,2017,"Биология","призёр",11,"Всероссийская олимпиада"
